,Age,City,Profession,Marital Status,Education,No. of Family members,Annual Income,Would you prefer replacing all your vehicles to Electronic vehicles?,If Yes/Maybe what type of  EV would you prefer?,Do you think Electronic Vehicles are economical?,Which brand of vehicle do you currently own?,How much money could you spend on an Electronic vehicle?,Preference for wheels in EV,Do you think Electronic vehicles will replace fuel cars in India?
0,30,Nabha,None,Single,Graduate,5,1193875.6469886892,Maybe,SUV,Yes,Hyundai,<5 lakhs,2,I don't think so
1,27,Pune,None,Single,Graduate,4,1844540.398096411,Yes,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
2,32,Kashipur ,None,Single,Graduate,4,2948150.1132918117,Yes,Hatchback,Yes,KIA,<15 lakhs,4,"Yes, in <20years"
3,55,Pune,Business,Single,Graduate,3,2832379.738911683,Maybe,Hatchback,No,Hyundai,<5 lakhs,4,"Yes, in <10 years"
4,26,Satara,None,Single,Graduate,4,2638750.5759932445,Yes,Sedan,Yes,McLaren ,<15 lakhs,4,"Yes, in <20years"
5,28,Pune,Working Professional,Single,Graduate,5,2945694.196583435,Maybe,SUV,Yes,Volkswagen,<15 lakhs,2,"Yes, in <10 years"
6,23,Pune,Working Professional,Married,Graduate,3,2686745.165806657,Yes,Sedan,Yes,KIA,<15 lakhs,2,"Yes, in <10 years"
7,25,Pune,None,Married,Post Graduate,4,2034627.333142025,Yes,Sedan,Yes,MG,<5 lakhs,4,"Yes, in <10 years"
8,43,Noida,None,Single,Graduate,2,2040275.1030678432,Yes,SUV,Yes,Volkswagen,<15 lakhs,2,"Yes, in <20years"
9,27,Pune,Working Professional,Single,Graduate,4,562871.5931966978,Yes,Sedan,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
10,26,Delhi,Working Professional,Single,Graduate,3,2457487.6918839836,Yes,Liftback,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
11,59,Pune,None,Married,Graduate,4,2131352.898476191,Maybe,SUV,Yes,Honda,<5 lakhs,4,"Yes, in <20years"
12,21,Pune,None,Married,Graduate,3,1124975.4161955414,Maybe,Sedan,No,Nissan,<15 lakhs,4,"Yes, in <10 years"
13,29,Pune,None,Married,Graduate,5,2161569.268649577,Yes,Hatchback,Maybe,Tata,<15 lakhs,3,"Yes, possibly after 20 years"
14,28,Pune,Working Professional,Single,Post Graduate,4,2158149.372440619,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
15,27,Pune,None,Single,Graduate,2,2910067.233174029,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
16,56,Mumbai,None,Single,Post Graduate,5,2315666.6624105666,No,Liftback,Yes,Chevrolet ,<15 lakhs,4,"Yes, in <20years"
17,25,Pune,None,Single,Post Graduate,4,2307403.8098538616,Maybe,Hatchback,Yes,Tata,<25 lakhs,4,"Yes, in <20years"
18,70,Satara,None,Married,Graduate,4,2465153.2604661905,Yes,SUV,Yes,KIA,<25 lakhs,4,"Yes, in <20years"
19,50,Pune,Business,Single,Graduate,8,1384333.732109958,Yes,SUV,Maybe,Honda,<15 lakhs,2,"Yes, possibly after 20 years"
20,25,pune,Working Professional,Married,Graduate,4,3020107.1851455304,Yes,SUV,Yes,MG,<15 lakhs,2,"Yes, in <20years"
21,24,Mumbai,Working Professional,Married,Graduate,4,2934210.1431885813,Yes,Hatchback,Yes,Suzuki ,700000,4,"Yes, in <10 years"
22,24,Pune,None,Single,Post Graduate,4,2478113.8285946925,Yes,Cabrio,Yes,KIA,<15 lakhs,4,"Yes, possibly after 20 years"
23,30,solapur,Working Professional,Married,Graduate,4,2107204.5980823245,Yes,SUV,No,Tata,<15 lakhs,4,"Yes, in <20years"
24,28,Pune,Working Professional,Single,Graduate,4,1399536.5483001564,No,SUV,Yes,KIA,<25 lakhs,2,"Yes, in <20years"
25,28,Haldwani ,Working Professional,Married,Post Graduate,3,2269262.459093802,Yes,Hatchback,Yes,Hyundai,<5 lakhs,4,"Yes, possibly after 20 years"
26,30,Nellore ,Business,Single,Graduate,4,2335084.7552239955,Yes,Liftback,Yes,Tata,<15 lakhs,4,I don't think so
27,29,Pune,None,Married,Post Graduate,4,1664194.8891665824,Maybe,Hatchback,Yes,MG,<15 lakhs,4,"Yes, in <20years"
28,27,Pune,None,Married,Graduate,4,2122244.430164666,Yes,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
29,29,Pune,Working Professional,Single,Post Graduate,4,2098838.429922109,Yes,SUV,Yes,Volkswagen,<15 lakhs,4,I don't think so
30,59,Pune,Business,Married,Graduate,4,1006097.0927530602,No,SUV,Yes,Nissan,<5 lakhs,2,"Yes, in <20years"
31,61,Pune,None,Married,Post Graduate,4,2755825.5719000213,Yes,SUV,Yes,Volkswagen,<15 lakhs,3,"Yes, in <20years"
32,28,Mumbai,Working Professional,Single,Graduate,3,2316589.1659369846,Yes,Cabrio,Yes,Nissan,700000,4,"Yes, in <10 years"
33,23,Pune ,Working Professional,Married,Graduate,8,2873835.1996866716,No,SUV,Yes,Tata,<5 lakhs,4,"Yes, in <10 years"
34,30,Haldwani,None,Single,Graduate,3,2369644.4235293097,Yes,Hatchback,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
35,30,Banglore ,None,Single,Graduate,4,1897615.7947447826,Yes,SUV,Yes,Hyundai,<15 lakhs,2,"Yes, in <10 years"
